tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magpsf_corr_ext,magap,magap_corr,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,sigmagap_corr,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,candid_alert,step_id_corr,phase,parent_candid
"ztf",59134.17086810013,"1380170862015015001",2,1380170862015,20.2928,1,1380,5.90806,20.4959,"","",20.4162,"",0.30509,"","",0.4158,"",335.0084159,-2.8403368,0.414286,"t17_f5_c3","",19.9106,0.3354,"",false,false,false,"","bulk_1.0.0",0,1380227932015015000
"ztf",59134.227939799894,"1380227932015015000",1,1380227932015,20.42038,1,1380,9.303723,19.68048,"","",19.3365,"",0.15296628,"","",0.1233,"",335.0083128,-2.84042,0.5385714,"t17_f5_c3",0.9979043,19.4336,0.172,443120120,false,false,false,"","bulk_1.0.0",0,1382213702015015000
"ztf",59136.175775500014,"1382175772015015002",2,1382175772015,20.440556,1,1382,5.9000287,19.853743,"","",19.8082,"",0.14592089,"","",0.2229,"",335.0084673,-2.8403955,0.7885714,"t17_f5_c3",0.9994803,19.6883,0.256,443120220,false,false,false,"","bulk_1.0.0",0,1382213702015015000
"ztf",59136.213703699876,"1382213702015015001",1,1382213702015,20.75539,1,1382,9.371343,19.557522,"","",19.4879,"",0.12657546,"","",0.1303,"",335.0084321,-2.8403721,0.7185714,"t17_f5_c3",0.999903,19.5365,0.1738,443120120,true,false,false,"","bulk_1.0.0",0,0
