tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magpsf_corr_ext,magap,magap_corr,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,sigmagap_corr,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,candid_alert,step_id_corr,phase,parent_candid
"ztf",58522.512928199954,"768512925715010011",1,768512925715,20.394062,-1,768,0.79084224,19.383759,19.026627,"",19.1474,"",0.20639893,100,0.14854394,0.1047,"",244.0011152,22.2677687,0.35714287,"t15_f5_c3",0,19.0482,0.1194,584120157,false,true,false,"","bulk_1.0.0",0,772547965715010000
"ztf",58526.5479629999,"772547965715010008",1,772547965715,20.086485,-1,772,1.1930523,19.355593,19.04736,"",19.2028,"",0.2012008,100,0.15147346,0.1478,"",244.000937,22.2680057,0.49714285,"t15_f5_c3",0,19.1686,0.1803,584120157,true,true,false,"","bulk_1.0.0",0,0
"ztf",58543.52434029989,"789524345715020010",1,789524345715,20.8105,-1,789,1.214,19.3805,19.028978,"",19.0486,"",0.233508,100,0.1689245,0.092,"",244.000928,22.2679957,0.358571,"t15_f5_c3","",18.9929,0.1086,"",false,true,false,"","bulk_1.0.0",0,818481795715010000
"ztf",58556.48182869982,"802481825715020012",1,802481825715,20.501734,-1,802,0.6353891,19.362337,19.04231,"",19.0213,"",0.14895317,100,0.11092741,0.0877,"",244.0010954,22.267919,0.3,"t15_f5_c3",0,18.9243,0.0999,584120157,false,true,false,"","bulk_1.0.0",0,818481795715010000
"ztf",58560.50168980006,"806501685715010005",1,806501685715,20.1882,-1,806,1.35203,19.6293,18.87898,"",19.4079,"",0.243615,100,0.1220609,0.1906,"",244.0008944,22.2680309,0.618571,"t15_f5_c3","",19.3282,0.2246,"",false,true,false,"","bulk_1.0.0",0,818481795715010000
"ztf",58568.418229199946,"814418225715010004",1,814418225715,19.83896,-1,814,1.6420859,19.629318,"","",19.499,"",0.21400797,"","",0.2494,"",244.0008165,22.2680733,0.36857143,"t15_f5_c3",0,19.2366,0.2497,584120157,false,false,true,"","bulk_1.0.0",0,818481795715010000
"ztf",58572.48179400014,"818481795715010009",1,818481795715,20.628944,-1,818,1.5860393,19.449064,"","",19.4313,"",0.18952121,"","",0.1389,"",244.000829,22.2680606,0.74142855,"t15_f5_c3",0,19.2984,0.1539,584120157,false,false,true,"","bulk_1.0.0",0,829397935715010000
"ztf",58575.482511600014,"821482515715010008",1,821482515715,20.2654,-1,821,1.16997,19.3988,19.01593,"",18.8767,"",0.263994,100,0.18554358,0.1166,"",244.000942,22.268,0.332857,"t15_f5_c3","",18.6667,0.121,"",false,true,false,"","bulk_1.0.0",0,829397935715010000
"ztf",58580.458368100226,"826458365715010013",1,826458365715,20.2442,-1,826,1.41633,19.4424,"","",19.5368,"",0.271651,"","",0.2083,"",244.000875,22.2680339,0.584286,"t15_f5_c3","",19.2018,0.1931,"",false,false,true,"","bulk_1.0.0",0,829397935715010000
"ztf",58583.39793979982,"829397935715010017",1,829397935715,20.410398,-1,829,1.3662353,19.429625,18.994778,"",19.1109,"",0.19200268,100,0.12863772,0.101,"",244.0008739,22.2679072,0.3257143,"t15_f5_c3",0,19.0015,0.1145,584120157,false,true,false,"","bulk_1.0.0",0,832417685715010000
"ztf",58586.417685199995,"832417685715010020",1,832417685715,20.71948,-1,832,1.0859303,19.497105,18.951805,"",19.1734,"",0.20192218,100,0.122198,0.1013,"",244.0009606,22.2679585,0.34285715,"t15_f5_c3",0,19.0276,0.1102,584120157,false,true,false,"","bulk_1.0.0",0,854316595715010000
"ztf",58596.481319400016,"842481315715010006",1,842481315715,19.7759,-1,842,1.23259,19.4288,18.995329,"",18.987,"",0.202922,100,0.13612588,0.1775,"",244.0009409,22.2680523,0.457143,"t15_f5_c3","",18.8295,0.196,"",false,true,false,"","bulk_1.0.0",0,854316595715010000
"ztf",58600.391921299975,"846391925715010024",1,846391925715,20.9901,-1,846,1.35074,19.4289,18.995262,"",19.088,"",0.231411,100,0.15521342,0.0862,"",244.0009015,22.2680509,0.337143,"t15_f5_c3","",19.0856,0.1064,"",false,true,false,"","bulk_1.0.0",0,854316595715010000
"ztf",58608.3165972,"854316595715010014",1,854316595715,20.553286,-1,854,1.1893475,19.504452,18.947382,"",19.2285,"",0.16906898,100,0.10121299,0.1145,"",244.0009414,22.2680249,0.5442857,"t15_f5_c3",0,19.1242,0.1298,584120157,false,true,false,"","bulk_1.0.0",0,878339845715010000
"ztf",58616.276435200125,"862276435715010007",1,862276435715,20.1438,-1,862,1.15383,19.5772,18.906055,"",19.5218,"",0.296887,100,0.16000496,0.2409,"",244.0009585,22.2680327,0.42,"t15_f5_c3","",19.752,0.3781,"",false,true,false,"","bulk_1.0.0",0,878339845715010000
"ztf",58632.339849499986,"878339845715010014",1,878339845715,20.736628,-1,878,1.4562936,19.484709,"","",19.3215,"",0.20465331,"","",0.1224,"",244.0008733,22.2680619,0.5714286,"t17_f5_c3",0,19.2623,0.1444,584120157,false,false,true,"","bulk_1.0.0",0,903213275715010000
"ztf",58635.21555559989,"881215555715010016",1,881215555715,20.9632,-1,881,1.40003,19.5388,"","",19.2414,"",0.246975,"","",0.1054,"",244.0008838,22.2680488,0.491429,"t17_f5_c3","",19.1868,0.1242,"",false,false,true,"","bulk_1.0.0",0,903213275715010000
"ztf",58638.35075230012,"884350755715010019",1,884350755715,20.6372,-1,884,1.04973,19.412,19.006746,"",19.0894,"",0.250491,100,0.17246087,0.0926,"",244.0009806,22.2678454,0.574286,"t17_f5_c3","",18.9843,0.1043,"",false,true,false,"","bulk_1.0.0",0,903213275715010000
"ztf",58641.23126159981,"887231265715010007",1,887231265715,20.1527,-1,887,1.45018,19.5905,"","",19.5896,"",0.291622,"","",0.2645,"",244.0008868,22.2680948,0.66,"t17_f5_c3","",19.3878,0.2767,"",false,false,true,"","bulk_1.0.0",0,903213275715010000
