tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magpsf_corr_ext,magap,magap_corr,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,sigmagap_corr,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,candid_alert,step_id_corr,phase,parent_candid
"ztf",58375.37214120012,"621372140815015004",2,621372140815,20.640965,1,621,0.6401574,20.053963,19.638311,"",20.0464,"",0.13077879,0.08786527,0.08918184,0.2418,"",30.0633125,16.799306,0.7133333,"t8_f5_c3",0,20.0331,0.3044,554120208,false,true,false,"","bulk_1.0.0",0,621433620815015000
"ztf",58375.43362270016,"621433620815015003",1,621433620815,20.892366,1,621,0.2718764,19.710915,19.480173,"",19.7281,"",0.11397287,0.09102645,0.09215205,0.132,"",30.0633335,16.7992454,0.69666666,"t8_f5_c3",0,19.7264,0.1674,554120108,false,true,false,"","bulk_1.0.0",0,624452850815015000
"ztf",58378.40226850007,"624402260815015003",2,624402260815,20.6754,1,624,0.52667,20.5736,19.964312,"",20.506,"",0.220801,0.12427728,0.12597534,0.3582,"",30.0633439,16.7992324,0.666667,"t12_f5_c3","",20.2916,0.3757,"",false,true,false,"","bulk_1.0.0",0,624452850815015000
"ztf",58378.45285880007,"624452850815015004",1,624452850815,20.79627,1,624,0.14197978,20.424759,20.016119,"",20.2845,"",0.1533143,0.102563836,0.105226964,0.2218,"",30.0633944,16.799266,0.6566667,"t8_f5_c3",0,20.2442,0.273,554120108,true,true,false,"","bulk_1.0.0",0,0
